2020/11/05 15:16:23 ======================================================
2020/11/05 15:16:36 batch 1Succ/Prec:76.3/90.7
2020/11/05 15:16:36 batch 2Succ/Prec:88.8/97.4
2020/11/05 15:16:39 batch 3Succ/Prec:83.0/94.1
2020/11/05 15:16:42 batch 4Succ/Prec:82.4/94.9
2020/11/05 15:16:46 batch 5Succ/Prec:80.8/93.3
2020/11/05 15:16:52 batch 6Succ/Prec:69.7/87.5
2020/11/05 15:16:57 batch 7Succ/Prec:68.3/87.2
2020/11/05 15:17:02 batch 8Succ/Prec:62.0/83.9
2020/11/05 15:17:09 batch 9Succ/Prec:58.8/87.7
2020/11/05 15:17:18 batch 10Succ/Prec:69.4/83.4
2020/11/05 15:17:22 batch 11Succ/Prec:62.5/85.9
2020/11/05 15:17:24 batch 12Succ/Prec:62.4/83.5
2020/11/05 15:17:29 batch 13Succ/Prec:49.5/78.8
2020/11/05 15:17:32 batch 14Succ/Prec:84.6/95.4
2020/11/05 15:17:37 batch 15Succ/Prec:52.6/81.8
2020/11/05 15:17:41 batch 16Succ/Prec:80.8/92.5
2020/11/05 15:17:45 batch 17Succ/Prec:63.0/84.8
2020/11/05 15:17:49 batch 18Succ/Prec:44.8/74.8
2020/11/05 15:18:32 batch 19Succ/Prec:46.8/70.5
2020/11/05 15:18:34 batch 20Succ/Prec:55.8/79.0
2020/11/05 15:18:36 batch 21Succ/Prec:76.7/94.3
2020/11/05 15:18:38 batch 22Succ/Prec:71.7/90.6
2020/11/05 15:18:40 batch 23Succ/Prec:68.7/90.8
2020/11/05 15:18:41 batch 24Succ/Prec:61.2/76.2
2020/11/05 15:18:42 batch 25Succ/Prec:77.4/91.5
2020/11/05 15:18:43 batch 26Succ/Prec:76.1/93.4
2020/11/05 15:18:45 batch 27Succ/Prec:74.2/88.0
2020/11/05 15:18:46 batch 28Succ/Prec:77.9/93.6
2020/11/05 15:18:47 batch 29Succ/Prec:64.7/83.4
2020/11/05 15:18:48 batch 30Succ/Prec:74.2/88.9
2020/11/05 15:18:49 batch 31Succ/Prec:67.4/90.7
2020/11/05 15:18:50 batch 32Succ/Prec:89.6/93.8
2020/11/05 15:18:51 batch 33Succ/Prec:85.2/97.3
2020/11/05 15:18:52 batch 34Succ/Prec:75.0/91.2
2020/11/05 15:18:55 batch 35Succ/Prec:5.4/3.2
2020/11/05 15:18:56 batch 36Succ/Prec:78.6/92.7
2020/11/05 15:18:58 batch 37Succ/Prec:60.2/85.9
2020/11/05 15:19:01 batch 38Succ/Prec:72.2/85.8
