2020/11/05 01:32:17 ======================================================
2020/11/05 01:32:22 batch 1Succ/Prec:10.7/32.0
2020/11/05 01:32:26 batch 2Succ/Prec:41.0/90.5
2020/11/05 01:32:31 batch 3Succ/Prec:22.5/55.9
2020/11/05 01:32:32 batch 4Succ/Prec:43.9/86.5
2020/11/05 01:32:35 batch 5Succ/Prec:18.4/47.4
2020/11/05 01:32:36 batch 6Succ/Prec:49.2/95.1
2020/11/05 01:32:37 batch 7Succ/Prec:34.2/76.8
2020/11/05 01:32:38 batch 8Succ/Prec:16.6/31.2
2020/11/05 01:32:39 batch 9Succ/Prec:8.8/18.6
2020/11/05 01:32:41 batch 10Succ/Prec:5.5/13.6
2020/11/05 01:32:43 batch 11Succ/Prec:42.0/77.9
2020/11/05 01:32:44 batch 12Succ/Prec:9.3/24.6
2020/11/05 01:32:46 batch 13Succ/Prec:6.7/10.4
2020/11/05 01:32:47 batch 14Succ/Prec:5.7/15.2
2020/11/05 01:32:50 batch 15Succ/Prec:44.9/85.7
2020/11/05 01:32:57 batch 16Succ/Prec:10.3/19.5
2020/11/05 01:33:04 batch 17Succ/Prec:20.3/46.2
2020/11/05 01:33:06 batch 18Succ/Prec:30.5/79.1
2020/11/05 01:33:08 batch 19Succ/Prec:20.7/73.9
2020/11/05 01:33:10 batch 20Succ/Prec:6.1/28.2
2020/11/05 01:33:15 batch 21Succ/Prec:9.7/30.7
2020/11/05 01:33:16 batch 22Succ/Prec:9.8/29.3
2020/11/05 01:33:23 batch 23Succ/Prec:32.8/86.5
2020/11/05 01:33:24 batch 24Succ/Prec:44.4/89.1
2020/11/05 01:33:29 batch 25Succ/Prec:17.8/46.7
2020/11/05 01:33:31 batch 26Succ/Prec:6.8/38.0
2020/11/05 01:33:33 batch 27Succ/Prec:45.3/92.0
2020/11/05 01:33:35 batch 28Succ/Prec:8.7/13.3
2020/11/05 01:33:36 batch 29Succ/Prec:6.5/19.5
2020/11/05 01:33:41 batch 30Succ/Prec:3.4/13.6
2020/11/05 01:33:45 batch 31Succ/Prec:10.6/20.3
2020/11/05 01:33:49 batch 32Succ/Prec:18.8/50.7
2020/11/05 01:33:52 batch 33Succ/Prec:19.1/71.1
2020/11/05 01:33:54 batch 34Succ/Prec:35.5/90.4
2020/11/05 01:33:56 batch 35Succ/Prec:12.6/39.5
2020/11/05 01:34:09 batch 36Succ/Prec:5.5/11.0
2020/11/05 01:34:22 batch 37Succ/Prec:30.2/72.0
2020/11/05 01:34:29 batch 38Succ/Prec:49.3/83.9
2020/11/05 01:34:32 batch 39Succ/Prec:16.5/36.6
2020/11/05 01:34:37 batch 40Succ/Prec:54.1/91.4
2020/11/05 01:34:45 batch 41Succ/Prec:4.8/11.0
2020/11/05 01:34:52 batch 42Succ/Prec:24.5/47.4
2020/11/05 01:34:56 batch 43Succ/Prec:18.3/54.1
2020/11/05 01:35:01 batch 44Succ/Prec:38.4/69.1
2020/11/05 01:35:05 batch 45Succ/Prec:36.1/69.8
2020/11/05 01:35:08 batch 46Succ/Prec:38.7/86.8
2020/11/05 01:35:13 batch 47Succ/Prec:42.8/79.2
2020/11/05 01:35:17 batch 48Succ/Prec:30.1/66.4
2020/11/05 01:35:22 batch 49Succ/Prec:22.8/39.2
2020/11/05 01:35:25 batch 50Succ/Prec:14.4/23.9
2020/11/05 01:35:28 batch 51Succ/Prec:10.0/18.0
2020/11/05 01:35:29 batch 52Succ/Prec:15.3/70.9
2020/11/05 01:35:30 batch 53Succ/Prec:5.6/11.7
2020/11/05 01:35:32 batch 54Succ/Prec:43.7/92.9
2020/11/05 01:35:33 batch 55Succ/Prec:68.4/93.4
2020/11/05 01:35:34 batch 56Succ/Prec:7.8/16.1
2020/11/05 01:35:35 batch 57Succ/Prec:10.5/22.7
2020/11/05 01:35:37 batch 58Succ/Prec:4.7/12.1
2020/11/05 01:35:40 batch 59Succ/Prec:13.3/31.2
2020/11/05 01:35:42 batch 60Succ/Prec:18.0/57.0
2020/11/05 01:35:45 batch 61Succ/Prec:46.4/84.8
2020/11/05 01:35:48 batch 62Succ/Prec:33.2/64.7
2020/11/05 01:35:48 mean Succ/Prec 23.404237844940866/51.116130091984225
